phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-07 01:22:19,0.0,2026/05/07 01:22:19.690,NVIDIA GeForce RTX 3080,0,41,60.37,1710,9251,1318,10240,30,
idle,2026-05-07 01:22:21,2.08,2026/05/07 01:22:21.790,NVIDIA GeForce RTX 3080,0,43,99.16,1710,9251,1318,10240,30,
idle,2026-05-07 01:22:23,4.16,2026/05/07 01:22:23.870,NVIDIA GeForce RTX 3080,0,44,99.44,1710,9251,1318,10240,30,
idle,2026-05-07 01:22:25,6.24,2026/05/07 01:22:25.951,NVIDIA GeForce RTX 3080,1,42,83.47,330,810,1318,10240,30,
idle,2026-05-07 01:22:28,8.33,2026/05/07 01:22:28.040,NVIDIA GeForce RTX 3080,0,40,35.49,210,405,1318,10240,30,
idle,2026-05-07 01:22:30,10.43,2026/05/07 01:22:30.131,NVIDIA GeForce RTX 3080,0,40,35.29,210,405,1318,10240,30,
idle,2026-05-07 01:22:32,12.52,2026/05/07 01:22:32.223,NVIDIA GeForce RTX 3080,2,39,35.19,210,405,1318,10240,30,
idle,2026-05-07 01:22:34,14.6,2026/05/07 01:22:34.294,NVIDIA GeForce RTX 3080,0,39,34.92,210,405,1318,10240,30,
idle,2026-05-07 01:22:36,16.68,2026/05/07 01:22:36.383,NVIDIA GeForce RTX 3080,0,39,34.97,210,405,1318,10240,30,
idle,2026-05-07 01:22:38,18.76,2026/05/07 01:22:38.468,NVIDIA GeForce RTX 3080,0,39,34.90,210,405,1318,10240,30,
idle,2026-05-07 01:22:40,20.84,2026/05/07 01:22:40.550,NVIDIA GeForce RTX 3080,0,39,34.87,210,405,1318,10240,30,
idle,2026-05-07 01:22:42,22.93,2026/05/07 01:22:42.636,NVIDIA GeForce RTX 3080,0,39,34.92,210,405,1318,10240,30,
idle,2026-05-07 01:22:44,25.01,2026/05/07 01:22:44.720,NVIDIA GeForce RTX 3080,0,39,34.68,210,405,1318,10240,30,
idle,2026-05-07 01:22:46,27.1,2026/05/07 01:22:46.802,NVIDIA GeForce RTX 3080,0,39,34.77,210,405,1318,10240,30,
idle,2026-05-07 01:22:48,29.19,2026/05/07 01:22:48.896,NVIDIA GeForce RTX 3080,0,39,34.98,210,405,1318,10240,30,
idle,2026-05-07 01:22:50,31.27,2026/05/07 01:22:50.978,NVIDIA GeForce RTX 3080,0,39,34.58,210,405,1318,10240,30,
idle,2026-05-07 01:22:53,33.35,2026/05/07 01:22:53.059,NVIDIA GeForce RTX 3080,0,39,34.71,210,405,1318,10240,30,
idle,2026-05-07 01:22:55,35.44,2026/05/07 01:22:55.145,NVIDIA GeForce RTX 3080,0,39,35.00,210,405,1318,10240,30,
idle,2026-05-07 01:22:57,37.52,2026/05/07 01:22:57.228,NVIDIA GeForce RTX 3080,0,39,34.90,210,405,1318,10240,30,
idle,2026-05-07 01:22:59,39.6,2026/05/07 01:22:59.296,NVIDIA GeForce RTX 3080,2,39,34.74,210,405,1318,10240,30,
