phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-04-30 11:14:24,0.0,2026/04/30 11:14:24.040,NVIDIA GeForce RTX 3080,0,44,63.06,1710,9251,1198,10240,30,
idle,2026-04-30 11:14:26,2.13,2026/04/30 11:14:26.168,NVIDIA GeForce RTX 3080,1,46,100.27,1710,9251,1198,10240,30,
idle,2026-04-30 11:14:28,4.27,2026/04/30 11:14:28.289,NVIDIA GeForce RTX 3080,0,47,100.31,1710,9251,1198,10240,30,
idle,2026-04-30 11:14:30,6.38,2026/04/30 11:14:30.422,NVIDIA GeForce RTX 3080,0,45,77.26,315,810,1198,10240,30,
idle,2026-04-30 11:14:32,8.48,2026/04/30 11:14:32.509,NVIDIA GeForce RTX 3080,0,43,36.79,210,405,1198,10240,30,
idle,2026-04-30 11:14:34,10.59,2026/04/30 11:14:34.615,NVIDIA GeForce RTX 3080,0,42,35.95,210,405,1198,10240,30,
idle,2026-04-30 11:14:36,12.68,2026/04/30 11:14:36.702,NVIDIA GeForce RTX 3080,0,42,35.74,210,405,1198,10240,30,
idle,2026-04-30 11:14:38,14.76,2026/04/30 11:14:38.786,NVIDIA GeForce RTX 3080,0,42,35.83,210,405,1198,10240,30,
idle,2026-04-30 11:14:40,16.85,2026/04/30 11:14:40.873,NVIDIA GeForce RTX 3080,2,42,35.72,210,405,1198,10240,30,
idle,2026-04-30 11:14:42,18.94,2026/04/30 11:14:42.978,NVIDIA GeForce RTX 3080,0,42,35.69,210,405,1198,10240,30,
idle,2026-04-30 11:14:45,21.06,2026/04/30 11:14:45.084,NVIDIA GeForce RTX 3080,0,42,35.72,210,405,1198,10240,30,
idle,2026-04-30 11:14:47,23.14,2026/04/30 11:14:47.165,NVIDIA GeForce RTX 3080,2,42,35.73,210,405,1198,10240,30,
idle,2026-04-30 11:14:49,25.22,2026/04/30 11:14:49.249,NVIDIA GeForce RTX 3080,0,42,35.76,210,405,1198,10240,30,
