phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-09 02:16:26,87.78,2026/05/09 02:16:26.282,NVIDIA GeForce RTX 3080,2,38,36.66,210,405,1344,10240,30,
idle,2026-05-09 02:16:28,89.87,2026/05/09 02:16:28.374,NVIDIA GeForce RTX 3080,0,38,36.40,210,405,1344,10240,30,
idle,2026-05-09 02:16:30,91.96,2026/05/09 02:16:30.461,NVIDIA GeForce RTX 3080,0,38,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:16:32,94.06,2026/05/09 02:16:32.558,NVIDIA GeForce RTX 3080,2,38,36.59,210,405,1344,10240,30,
idle,2026-05-09 02:16:34,96.15,2026/05/09 02:16:34.648,NVIDIA GeForce RTX 3080,0,38,36.64,210,405,1344,10240,30,
idle,2026-05-09 02:16:36,98.24,2026/05/09 02:16:36.737,NVIDIA GeForce RTX 3080,0,38,36.42,210,405,1344,10240,30,
idle,2026-05-09 02:16:38,100.33,2026/05/09 02:16:38.834,NVIDIA GeForce RTX 3080,0,38,36.32,210,405,1344,10240,30,
idle,2026-05-09 02:16:40,102.42,2026/05/09 02:16:40.922,NVIDIA GeForce RTX 3080,1,38,36.38,210,405,1344,10240,30,
idle,2026-05-09 02:16:43,104.52,2026/05/09 02:16:43.005,NVIDIA GeForce RTX 3080,1,38,36.45,210,405,1344,10240,30,
idle,2026-05-09 02:16:45,106.6,2026/05/09 02:16:45.087,NVIDIA GeForce RTX 3080,3,38,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:16:47,108.67,2026/05/09 02:16:47.174,NVIDIA GeForce RTX 3080,0,38,36.38,210,405,1344,10240,30,
idle,2026-05-09 02:16:49,110.76,2026/05/09 02:16:49.259,NVIDIA GeForce RTX 3080,0,38,36.44,210,405,1344,10240,30,
idle,2026-05-09 02:16:51,112.85,2026/05/09 02:16:51.335,NVIDIA GeForce RTX 3080,0,38,36.52,210,405,1344,10240,30,
idle,2026-05-09 02:16:53,114.93,2026/05/09 02:16:53.431,NVIDIA GeForce RTX 3080,0,38,36.47,210,405,1344,10240,30,
idle,2026-05-09 02:16:55,117.02,2026/05/09 02:16:55.521,NVIDIA GeForce RTX 3080,0,38,36.62,210,405,1344,10240,30,
idle,2026-05-09 02:16:57,119.11,2026/05/09 02:16:57.616,NVIDIA GeForce RTX 3080,0,38,36.52,210,405,1344,10240,30,
idle,2026-05-09 02:16:59,121.2,2026/05/09 02:16:59.698,NVIDIA GeForce RTX 3080,0,38,36.56,210,405,1344,10240,30,
idle,2026-05-09 02:17:01,123.29,2026/05/09 02:17:01.776,NVIDIA GeForce RTX 3080,0,38,36.39,210,405,1344,10240,30,
idle,2026-05-09 02:17:03,125.37,2026/05/09 02:17:03.872,NVIDIA GeForce RTX 3080,0,38,36.65,210,405,1344,10240,30,
idle,2026-05-09 02:17:05,127.47,2026/05/09 02:17:05.952,NVIDIA GeForce RTX 3080,0,38,36.46,210,405,1344,10240,30,
idle,2026-05-09 02:17:08,129.53,2026/05/09 02:17:08.032,NVIDIA GeForce RTX 3080,0,38,36.65,210,405,1344,10240,30,
idle,2026-05-09 02:17:10,131.63,2026/05/09 02:17:10.134,NVIDIA GeForce RTX 3080,0,38,36.60,210,405,1344,10240,30,
idle,2026-05-09 02:17:12,133.72,2026/05/09 02:17:12.226,NVIDIA GeForce RTX 3080,0,38,36.35,210,405,1344,10240,30,
idle,2026-05-09 02:17:14,135.81,2026/05/09 02:17:14.316,NVIDIA GeForce RTX 3080,0,38,36.49,210,405,1344,10240,30,
idle,2026-05-09 02:17:16,137.91,2026/05/09 02:17:16.406,NVIDIA GeForce RTX 3080,0,38,36.53,210,405,1344,10240,30,
idle,2026-05-09 02:17:18,140.0,2026/05/09 02:17:18.497,NVIDIA GeForce RTX 3080,0,38,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:17:20,142.1,2026/05/09 02:17:20.598,NVIDIA GeForce RTX 3080,0,38,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:17:22,144.19,2026/05/09 02:17:22.672,NVIDIA GeForce RTX 3080,0,38,36.47,210,405,1344,10240,30,
idle,2026-05-09 02:17:24,146.27,2026/05/09 02:17:24.768,NVIDIA GeForce RTX 3080,0,38,36.59,210,405,1344,10240,30,
idle,2026-05-09 02:17:26,148.36,2026/05/09 02:17:26.858,NVIDIA GeForce RTX 3080,0,38,36.51,210,405,1344,10240,30,
idle,2026-05-09 02:17:28,150.46,2026/05/09 02:17:28.962,NVIDIA GeForce RTX 3080,0,38,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:17:31,152.55,2026/05/09 02:17:31.049,NVIDIA GeForce RTX 3080,0,38,36.34,210,405,1344,10240,30,
idle,2026-05-09 02:17:33,154.65,2026/05/09 02:17:33.146,NVIDIA GeForce RTX 3080,0,38,36.52,210,405,1344,10240,30,
idle,2026-05-09 02:17:35,156.75,2026/05/09 02:17:35.250,NVIDIA GeForce RTX 3080,0,38,36.40,210,405,1340,10240,30,
idle,2026-05-09 02:17:37,158.84,2026/05/09 02:17:37.341,NVIDIA GeForce RTX 3080,0,38,36.41,210,405,1339,10240,30,
idle,2026-05-09 02:17:39,160.93,2026/05/09 02:17:39.431,NVIDIA GeForce RTX 3080,0,38,36.22,210,405,1337,10240,30,
idle,2026-05-09 02:17:41,163.02,2026/05/09 02:17:41.521,NVIDIA GeForce RTX 3080,0,38,36.11,210,405,1337,10240,30,
idle,2026-05-09 02:17:43,165.11,2026/05/09 02:17:43.610,NVIDIA GeForce RTX 3080,0,38,36.18,210,405,1337,10240,30,
idle,2026-05-09 02:17:45,167.2,2026/05/09 02:17:45.700,NVIDIA GeForce RTX 3080,2,38,36.16,210,405,1337,10240,30,
idle,2026-05-09 02:17:47,169.29,2026/05/09 02:17:47.795,NVIDIA GeForce RTX 3080,0,38,36.27,210,405,1337,10240,30,
idle,2026-05-09 02:17:49,171.39,2026/05/09 02:17:49.887,NVIDIA GeForce RTX 3080,0,38,36.21,210,405,1337,10240,30,
idle,2026-05-09 02:17:51,173.48,2026/05/09 02:17:51.980,NVIDIA GeForce RTX 3080,1,38,36.21,210,405,1337,10240,30,
idle,2026-05-09 02:17:54,175.58,2026/05/09 02:17:54.079,NVIDIA GeForce RTX 3080,0,38,36.34,210,405,1337,10240,30,
idle,2026-05-09 02:17:56,177.68,2026/05/09 02:17:56.180,NVIDIA GeForce RTX 3080,0,38,36.34,210,405,1337,10240,30,
idle,2026-05-09 02:17:58,179.78,2026/05/09 02:17:58.266,NVIDIA GeForce RTX 3080,2,38,36.31,210,405,1337,10240,30,
idle,2026-05-09 02:18:00,181.87,2026/05/09 02:18:00.355,NVIDIA GeForce RTX 3080,0,38,36.24,210,405,1337,10240,30,
